code,name
bm,Big Black Mountain
bi,Birch Hill
bl,Black Mountain
buff,Buffalo Bump
chino,Chino Hills
ch,Coronado Hills
cp,Cuyamaca Peak
dwpgm,Green Peak
69bravo,L.A.Co.F.D. Helibase 69 Bravo
wlfd,Lake Wohlford Airport
pi,Los Pinos
lp,Lyons Peak
mg,Mesa Grande
ml,Monument Peak
wc,Mount Woodson CalFire
mlo,Mt. Laguna Observatory access site
wilson,Mt Wilson Observatory
om,Otay Mountain
rm,Red Mountain (near Fallbrook)
rdd,Rincon Del Diablo
smer-tcs9,SMER TCS9
sclm,San Clemente
sjh,San Juan Hills
sm,San Miguel
syp,Santa Ynez Peak
stgo,Santiago Peak
signal,Signal Peak
sojr,Sky Oaks
starr,Upper Bell
marconi,Upper Talega
vo,Volcan Mountain
ws,White Star
sdsc-e,UCSD/SDSC East
